Site,Language,target_word,guess,similarity_score,iteration,word_embedding,vocabulary_words_file_name_path,vocabulary_words_count,execution_time
https://semantle.com,English,outer,heaven,8.905291782314173,1,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.0030002593994140625
https://semantle.com,English,outer,hobnail,25.482808311948624,2,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.33500027656555176
https://semantle.com,English,outer,outer,100.0,3,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.335338830947876
https://semantle.com,English,experienced,disinfecting,2.692141241497703,1,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.004990100860595703
https://semantle.com,English,experienced,budgerigars,-1.4076921130523168,2,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.35013389587402344
https://semantle.com,English,experienced,experienced,100.0,3,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.3511323928833008
https://semantle.com,English,demonstrate,censures,8.51783289900936,1,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.0019953250885009766
https://semantle.com,English,demonstrate,wiggles,5.193965871254802,2,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.2895183563232422
https://semantle.com,English,demonstrate,demonstrate,100.0,3,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.29051852226257324
https://semantle.com,English,slice,competently,9.694596271397716,1,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.0020024776458740234
https://semantle.com,English,slice,criticizers,10.342072935258951,2,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.34586620330810547
https://semantle.com,English,slice,slice,100.0,3,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.34586620330810547
https://semantle.com,English,book,satirist,21.309312720443707,1,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.002000093460083008
https://semantle.com,English,book,stupidity,9.542052976805715,2,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.3257465362548828
https://semantle.com,English,book,book,100.0,3,Word2vec Model,C:\Users\yossi\Downloads\final project\FinalProject\MyData\english-words.txt,97418,0.32674622535705566
