Site,Language,target_word,guess,similarity_score,iteration,word_embedding,vocabulary_words_file_name_path,vocabulary_words_count,execution_time
Pimantle,English,miracle,briefcases,0.047116675286262844,1,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.00400090217590332
Pimantle,English,miracle,garth,14.195605954304803,2,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.40665125846862793
Pimantle,English,miracle,miracle,100.0,3,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.4076521396636963
Pimantle,English,patriot,acetylcholinesterase,4.515388816169741,1,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.0030913352966308594
Pimantle,English,patriot,surtaxes,11.272442224324442,2,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.3855099678039551
Pimantle,English,patriot,patriot,100.0,3,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.386516809463501
Pimantle,English,vinyl,marauded,0.4992898111223054,1,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.002998828887939453
Pimantle,English,vinyl,disown,7.872257769693903,2,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.34789061546325684
Pimantle,English,vinyl,vinyl,100.0,3,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.34789061546325684
Pimantle,English,painting,precautious,-1.9631074791515157,1,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.004004240036010742
Pimantle,English,painting,perfecta,11.203981203755342,2,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.3724231719970703
Pimantle,English,painting,painting,100.0,3,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.3724231719970703
Pimantle,English,dark,supergroups,6.687965782882188,1,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.004019498825073242
Pimantle,English,dark,skirtings,15.37428726578256,2,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.3579285144805908
Pimantle,English,dark,dark,100.0,3,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.3589458465576172
Pimantle,English,hype,buggy,11.337223605447743,1,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.003999233245849609
Pimantle,English,hype,urbanise,12.314339749392778,2,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.37215614318847656
Pimantle,English,hype,hype,100.0,3,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.37316203117370605
Pimantle,English,automated,seviche,4.727760004997816,1,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.0030007362365722656
Pimantle,English,automated,hairdressing,0.46910567523457125,2,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.3652329444885254
Pimantle,English,automated,automated,100.0,3,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.36623311042785645
Pimantle,English,energize,quavering,1.8235809671378722,1,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.00400090217590332
Pimantle,English,energize,residuals,1.4913037150910302,2,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.3571293354034424
Pimantle,English,energize,energize,100.0,3,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.3581275939941406
Pimantle,English,script,intermediately,0.6031891458910477,1,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.0039920806884765625
Pimantle,English,script,hardhat,4.754551125942664,2,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.31232452392578125
Pimantle,English,script,script,100.0,3,word2vec,C:/Users/yossi/Downloads/final project/FinalProject/MyData/English-Words_Pimantle.txt,106981,0.31232452392578125
